i,T,Qmin
756,1.503963,15.0
757,1.503963,15.0
758,1.503963,15.0
759,1.503963,15.0
760,1.503963,15.0
761,1.503963,15.0
762,1.503963,15.0
763,1.503963,15.0
764,1.503963,15.0
765,1.503963,15.0
766,1.503963,15.0
767,1.503963,15.0
768,1.503963,15.0
769,1.503963,15.0
770,1.503963,15.0
771,1.503963,15.0
772,1.503963,15.0
773,1.503963,15.0
774,1.503963,15.0
775,1.503963,15.0
776,1.503963,15.0
777,1.503963,15.0
778,1.503963,15.0
779,1.503963,15.0
780,1.503963,15.0
781,1.503963,15.0
782,1.503963,15.0
783,1.503963,15.0
784,1.503963,15.0
785,1.503963,15.0
786,1.503963,15.0
787,1.503963,15.0
788,1.503963,15.0
789,1.503963,15.0
790,1.503963,15.0
791,1.503963,15.0
792,1.503963,15.0
793,1.503963,15.0
794,1.503963,15.0
795,1.503963,15.0
796,1.503963,15.0
797,1.503963,15.0
798,1.503963,15.0
799,1.503963,15.0
800,1.503963,15.0
801,1.503963,15.0
802,1.503963,15.0
803,1.503963,15.0
804,1.503963,15.0
805,1.503963,15.0
806,1.503963,15.0
807,1.503963,15.0
808,1.503963,15.0
809,1.503963,15.0
810,1.503963,15.0
811,1.503963,15.0
812,1.503963,15.0
813,1.503963,15.0
814,1.503963,15.0
815,1.503963,15.0
816,1.503963,15.0
817,1.503963,14.0
818,1.503963,14.0
819,1.503963,14.0
820,1.503963,14.0
821,1.503963,14.0
822,1.503963,14.0
823,1.503963,14.0
824,1.503963,14.0
825,1.503963,14.0
826,1.503963,14.0
827,1.503963,14.0
828,1.503963,14.0
829,1.503963,14.0
830,1.503963,14.0
831,1.503963,14.0
832,1.503963,14.0
833,1.503963,14.0
834,1.503963,14.0
835,1.503963,14.0
836,1.503963,14.0
837,1.503963,14.0
838,1.503963,14.0
839,1.503963,14.0
840,1.503963,14.0
841,1.503963,14.0
842,1.503963,14.0
843,1.503963,14.0
844,1.503963,14.0
845,1.503963,14.0
846,1.503963,14.0
847,1.503963,14.0
848,1.503963,14.0
849,1.503963,14.0
850,1.503963,14.0
851,1.503963,14.0
852,1.503963,14.0
853,1.503963,14.0
854,1.503963,14.0
855,1.503963,14.0
856,1.503963,14.0
857,1.503963,14.0
858,1.503963,14.0
859,1.503963,14.0
860,1.503963,14.0
861,1.503963,14.0
862,1.503963,14.0
863,1.503963,14.0
864,1.503963,14.0
865,1.503963,14.0
866,1.503963,14.0
867,1.503963,14.0
868,1.503963,14.0
869,1.503963,14.0
870,1.503963,14.0
871,1.503963,14.0
872,1.503963,14.0
873,1.503963,14.0
874,1.503963,14.0
875,1.503963,14.0
876,1.503963,14.0
877,1.503963,14.0
878,1.503963,14.0
879,1.503963,14.0
880,1.503963,14.0
881,1.503963,14.0
882,1.503963,14.0
883,1.503963,14.0
884,1.503963,14.0
885,1.503963,14.0
886,1.503963,14.0
887,1.503963,14.0
888,1.503963,14.0
889,1.503963,14.0
890,1.503963,14.0
891,1.503963,14.0
892,1.503963,14.0
893,1.503963,14.0
894,1.503963,14.0
895,1.503963,14.0
896,1.503963,14.0
897,1.503963,14.0
898,1.503963,14.0
899,1.503963,14.0
900,1.503963,14.0
901,1.503963,14.0
902,1.503963,14.0
903,1.503963,14.0
904,1.503963,14.0
905,1.503963,14.0
906,1.503963,14.0
907,1.503963,14.0
908,1.503963,14.0
909,1.503963,14.0
910,1.503963,14.0
911,1.503963,14.0
912,1.503963,14.0
913,1.503963,14.0
914,1.503963,14.0
915,1.503963,14.0
916,1.503963,14.0
917,1.503963,14.0
918,1.503963,14.0
919,1.503963,14.0
920,1.503963,14.0
921,1.503963,14.0
922,1.503963,14.0
923,1.503963,14.0
924,1.503963,14.0
925,1.503963,14.0
926,1.503963,14.0
927,1.503963,14.0
928,1.503963,14.0
929,1.503963,14.0
930,1.503963,14.0
931,1.503963,14.0
932,1.503963,14.0
933,1.503963,14.0
934,1.503963,14.0
935,1.503963,14.0
936,1.503963,14.0
937,1.503963,14.0
938,1.503963,14.0
939,1.503963,14.0
940,1.503963,14.0
941,1.503963,14.0
942,1.503963,14.0
943,1.503963,14.0
944,1.503963,14.0
945,1.503963,14.0
946,1.503963,14.0
947,1.503963,14.0
948,1.503963,14.0
949,1.503963,14.0
950,1.503963,14.0
951,1.503963,14.0
952,1.503963,14.0
953,1.503963,14.0
954,1.503963,14.0
955,1.503963,14.0
956,1.503963,14.0
957,1.503963,14.0
958,1.503963,14.0
959,1.503963,14.0
960,1.503963,14.0
961,1.488924,14.0
962,1.488924,14.0
963,1.488924,14.0
964,1.488924,14.0
965,1.488924,14.0
966,1.488924,14.0
967,1.488924,14.0
968,1.488924,14.0
969,1.488924,14.0
970,1.488924,14.0
971,1.488924,14.0
972,1.488924,14.0
973,1.488924,14.0
974,1.488924,14.0
975,1.488924,14.0
976,1.488924,14.0
977,1.488924,14.0
978,1.488924,14.0
979,1.488924,14.0
980,1.488924,14.0
981,1.488924,14.0
982,1.488924,14.0
983,1.488924,14.0
984,1.488924,14.0
985,1.488924,14.0
986,1.488924,14.0
987,1.488924,14.0
988,1.488924,14.0
989,1.488924,14.0
990,1.488924,14.0
991,1.488924,14.0
992,1.488924,14.0
993,1.488924,14.0
994,1.488924,14.0
995,1.488924,14.0
996,1.488924,14.0
997,1.488924,14.0
998,1.488924,14.0
999,1.488924,14.0
1000,1.488924,14.0
1001,1.488924,14.0
1002,1.488924,14.0
1003,1.488924,14.0
1004,1.488924,14.0
1005,1.488924,14.0
1006,1.488924,14.0
1007,1.488924,14.0
1008,1.488924,14.0
1009,1.488924,14.0
1010,1.488924,14.0
1011,1.488924,14.0
1012,1.488924,14.0
1013,1.488924,14.0
1014,1.488924,14.0
1015,1.488924,14.0
1016,1.488924,14.0
